_url,_position,constituency,party,candidate,votes,votes/_source,share,share/_source
http://www.bbc.co.uk/news/politics/constituencies/E14001043,3,"Conservative (CON) , with candidate John Bell , have the following results: 15,566 total votes taken. 37.2% share of the total vote -2.2% change in share of the votes",(CON),", with candidate John Bell",15566,"15,566",37.2,37.2
http://www.bbc.co.uk/news/politics/constituencies/E14001043,4,"UKIP (UKIP) , with candidate David Scott , have the following results: 3,737 total votes taken. 8.9% share of the total vote +5.7% change in share of the votes",(UKIP),", with candidate David Scott",3737,"3,737",8.9,8.9
http://www.bbc.co.uk/news/politics/constituencies/E14001043,5,"Liberal Democrat (LD) , with candidate Elizabeth Jewkes , have the following results: 1,474 total votes taken. 3.5% share of the total vote -13.0% change in share of the votes",(LD),", with candidate Elizabeth Jewkes",1474,"1,474",3.5,3.5
http://www.bbc.co.uk/news/politics/constituencies/E14001043,6,"Green Party (GRN) , with candidate Paul Cartlidge , have the following results: 895 total votes taken. 2.1% share of the total vote +2.1% change in share of the votes",(GRN),", with candidate Paul Cartlidge",895,895,2.1,2.1
http://www.bbc.co.uk/news/politics/constituencies/E14001046,1,Witney,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/E14001046,2,"Conservative (CON) , with candidate David Cameron , have the following results: 35,201 total votes taken. 60.2% share of the total vote +1.4% change in share of the votes",(CON),", with candidate David Cameron",35201,"35,201",60.2,60.2
http://www.bbc.co.uk/news/politics/constituencies/E14001046,3,"Labour (LAB) , with candidate Duncan Enright , have the following results: 10,046 total votes taken. 17.2% share of the total vote +4.2% change in share of the votes",(LAB),", with candidate Duncan Enright",10046,"10,046",17.2,17.2
http://www.bbc.co.uk/news/politics/constituencies/E14001046,4,"UKIP (UKIP) , with candidate Simon Strutt , have the following results: 5,352 total votes taken. 9.2% share of the total vote +5.7% change in share of the votes",(UKIP),", with candidate Simon Strutt",5352,"5,352",9.2,9.2
http://www.bbc.co.uk/news/politics/constituencies/E14001046,5,"Liberal Democrat (LD) , with candidate Andy Graham , have the following results: 3,953 total votes taken. 6.8% share of the total vote -12.7% change in share of the votes",(LD),", with candidate Andy Graham",3953,"3,953",6.8,6.8
http://www.bbc.co.uk/news/politics/constituencies/E14001046,6,"Green Party (GRN) , with candidate Stuart Macdonald , have the following results: 2,970 total votes taken. 5.1% share of the total vote +0.9% change in share of the votes",(GRN),", with candidate Stuart Macdonald",2970,"2,970",5.1,5.1
http://www.bbc.co.uk/news/politics/constituencies/E14001046,7,"National Health Action (NHA) , with candidate Clive Peedell , have the following results: 616 total votes taken. 1.1% share of the total vote +1.1% change in share of the votes",(NHA),", with candidate Clive Peedell",616,616,1.1,1.1
http://www.bbc.co.uk/news/politics/constituencies/E14001046,8,"Wessex Regionalists (WR) , with candidate Colin Bex , have the following results: 110 total votes taken. 0.2% share of the total vote +0.1% change in share of the votes",(WR),", with candidate Colin Bex",110,110,0.2,0.2
http://www.bbc.co.uk/news/politics/constituencies/E14001046,9,"Independent (IND) , with candidate Chris Tompson , have the following results: 94 total votes taken. 0.2% share of the total vote +0.2% change in share of the votes",(IND),", with candidate Chris Tompson",94,94,0.2,0.2
http://www.bbc.co.uk/news/politics/constituencies/E14001046,10,"Reduce VAT in Sport (RVIS) , with candidate Vivien Saunders , have the following results: 56 total votes taken. 0.1% share of the total vote +0.1% change in share of the votes",(RVIS),", with candidate Vivien Saunders",56,56,0.1,0.1
http://www.bbc.co.uk/news/politics/constituencies/E14001046,11,"Give Me Back Elmo (GMBE) , with candidate Bobby Smith , have the following results: 37 total votes taken. 0.1% share of the total vote +0.1% change in share of the votes",(GMBE),", with candidate Bobby Smith",37,37,0.1,0.1
http://www.bbc.co.uk/news/politics/constituencies/E14001046,12,"Land Party (LP) , with candidate Deek Jackson , have the following results: 35 total votes taken. 0.1% share of the total vote +0.1% change in share of the votes",(LP),", with candidate Deek Jackson",35,35,0.1,0.1
http://www.bbc.co.uk/news/politics/constituencies/E14001046,13,"Independent (IND) , with candidate Nathan Handley , have the following results: 12 total votes taken. 0.0% share of the total vote 0.0% change in share of the votes",(IND),", with candidate Nathan Handley",12,12,0,0
http://www.bbc.co.uk/news/politics/constituencies/E14001045,1,Witham,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/E14001045,2,"Conservative (CON) , with candidate Priti Patel , have the following results: 27,123 total votes taken. 57.5% share of the total vote +5.3% change in share of the votes",(CON),", with candidate Priti Patel",27123,"27,123",57.5,57.5
http://www.bbc.co.uk/news/politics/constituencies/E14001045,3,"UKIP (UKIP) , with candidate Garry Cockrill , have the following results: 7,569 total votes taken. 16.0% share of the total vote +9.5% change in share of the votes",(UKIP),", with candidate Garry Cockrill",7569,"7,569",16,16
http://www.bbc.co.uk/news/politics/constituencies/E14001045,4,"Labour (LAB) , with candidate John Clarke , have the following results: 7,467 total votes taken. 15.8% share of the total vote -2.7% change in share of the votes",(LAB),", with candidate John Clarke",7467,"7,467",15.8,15.8
http://www.bbc.co.uk/news/politics/constituencies/E14001045,5,"Liberal Democrat (LD) , with candidate Josephine Hayes , have the following results: 2,891 total votes taken. 6.1% share of the total vote -13.6% change in share of the votes",(LD),", with candidate Josephine Hayes",2891,"2,891",6.1,6.1
http://www.bbc.co.uk/news/politics/constituencies/E14001045,6,"Green Party (GRN) , with candidate James Abbott , have the following results: 2,038 total votes taken. 4.3% share of the total vote +1.3% change in share of the votes",(GRN),", with candidate James Abbott",2038,"2,038",4.3,4.3
http://www.bbc.co.uk/news/politics/constituencies/E14001045,7,"Christian Peoples Alliance (CPA) , with candidate Doreen Scrimshaw , have the following results: 80 total votes taken. 0.2% share of the total vote +0.2% change in share of the votes",(CPA),", with candidate Doreen Scrimshaw",80,80,0.2,0.2
http://www.bbc.co.uk/news/politics/constituencies/E14001048,1,Wokingham,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/E14001048,2,"Conservative (CON) , with candidate John Redwood , have the following results: 32,325 total votes taken. 57.7% share of the total vote +5.0% change in share of the votes",(CON),", with candidate John Redwood",32325,"32,325",57.7,57.7
http://www.bbc.co.uk/news/politics/constituencies/E14001048,3,"Labour (LAB) , with candidate Andy Croy , have the following results: 8,132 total votes taken. 14.5% share of the total vote +4.4% change in share of the votes",(LAB),", with candidate Andy Croy",8132,"8,132",14.5,14.5
http://www.bbc.co.uk/news/politics/constituencies/E14001048,4,"Liberal Democrat (LD) , with candidate Clive Jones , have the following results: 7,572 total votes taken. 13.5% share of the total vote -14.5% change in share of the votes",(LD),", with candidate Clive Jones",7572,"7,572",13.5,13.5
http://www.bbc.co.uk/news/politics/constituencies/E14001048,5,"UKIP (UKIP) , with candidate Philip Cunnington , have the following results: 5,516 total votes taken. 9.9% share of the total vote +6.8% change in share of the votes",(UKIP),", with candidate Philip Cunnington",5516,"5,516",9.9,9.9
http://www.bbc.co.uk/news/politics/constituencies/E14001048,6,"Green Party (GRN) , with candidate Adrian Windisch , have the following results: 2,092 total votes taken. 3.7% share of the total vote +2.7% change in share of the votes",(GRN),", with candidate Adrian Windisch",2092,"2,092",3.7,3.7
http://www.bbc.co.uk/news/politics/constituencies/E14001048,7,"Independent (IND) , with candidate Kaz Lokuciewski , have the following results: 358 total votes taken. 0.6% share of the total vote +0.6% change in share of the votes",(IND),", with candidate Kaz Lokuciewski",358,358,0.6,0.6
http://www.bbc.co.uk/news/politics/constituencies/E14001047,1,Woking,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/E14001047,2,"Conservative (CON) , with candidate Jonathan Lord , have the following results: 29,199 total votes taken. 56.2% share of the total vote +5.9% change in share of the votes",(CON),", with candidate Jonathan Lord",29199,"29,199",56.2,56.2
http://www.bbc.co.uk/news/politics/constituencies/E14001047,3,"Labour (LAB) , with candidate Jill Rawling , have the following results: 8,389 total votes taken. 16.1% share of the total vote +8.1% change in share of the votes",(LAB),", with candidate Jill Rawling",8389,"8,389",16.1,16.1
http://www.bbc.co.uk/news/politics/constituencies/E14001047,4,"Liberal Democrat (LD) , with candidate Chris Took , have the following results: 6,047 total votes taken. 11.6% share of the total vote -25.8% change in share of the votes",(LD),", with candidate Chris Took",6047,"6,047",11.6,11.6
http://www.bbc.co.uk/news/politics/constituencies/E14001047,5,"UKIP (UKIP) , with candidate Rob Burberry , have the following results: 5,873 total votes taken. 11.3% share of the total vote +7.5% change in share of the votes",(UKIP),", with candidate Rob Burberry",5873,"5,873",11.3,11.3
http://www.bbc.co.uk/news/politics/constituencies/E14001047,6,"Green Party (GRN) , with candidate Martin Robson , have the following results: 2,109 total votes taken. 4.1% share of the total vote +4.1% change in share of the votes",(GRN),", with candidate Martin Robson",2109,"2,109",4.1,4.1
http://www.bbc.co.uk/news/politics/constituencies/E14001047,7,"Cannabis Is Safer Than Alcohol (CSA) , with candidate Declan Wade , have the following results: 229 total votes taken. 0.4% share of the total vote +0.4% change in share of the votes",(CSA),", with candidate Declan Wade",229,229,0.4,0.4
http://www.bbc.co.uk/news/politics/constituencies/E14001047,8,"Magna Carta Conservation Party Great Britain (MCCP) , with candidate Ruth Temple , have the following results: 77 total votes taken. 0.1% share of the total vote +0.1% change in share of the votes",(MCCP),", with candidate Ruth Temple",77,77,0.1,0.1
